Set Name,Greek Term,English Definition
Δέντρο των Ψυχών (γ' μέρος),η συμπαράσταση,support
Δέντρο των Ψυχών (γ' μέρος),η υποστήριξη,support
Δέντρο των Ψυχών (γ' μέρος),θολώνω,to blur
Δέντρο των Ψυχών (γ' μέρος),η ευθύνη,responsibility
Δέντρο των Ψυχών (β' μέρος),η σύμπτωση,coincidence
Δέντρο των Ψυχών (β' μέρος),απέχω,be away/be distant
Δέντρο των Ψυχών (β' μέρος),δίνω το παρών,to attend
Δέντρο των Ψυχών (β' μέρος),το θύμα,victim
Δέντρο των Ψυχών (β' μέρος),παράλληλα,at the same time/alongside
Δέντρο των Ψυχών (β' μέρος),φιλοτεχνώ,to make art
Δέντρο των Ψυχών (β' μέρος),αποδίδω φόρο τιμής,to pay tribute
Δέντρο των Ψυχών (β' μέρος),το πεπρωμένο,destiny
Δέντρο των Ψυχών (β' μέρος),άδικος,unfair
Δέντρο των Ψυχών (β' μέρος),ευαίσθητος,sensitive
Δέντρο των Ψυχών (β' μέρος),αποβλέπω,to aim
Δέντρο των Ψυχών (β' μέρος),ο στοχασμός,reflection
Δέντρο των Ψυχών (β' μέρος),η ενδοσκόπηση,introspection
Δέντρο των Ψυχών (β' μέρος),αγγίζω,touch
Δέντρο των Ψυχών (β' μέρος),η συμπαράσταση,solidarity
Δέντρο των Ψυχών (β' μέρος),μεγαλειώδης,majestic
Δέντρο των Ψυχών (β' μέρος),συγκεντρώνω,to gather
Δέντρο των Ψυχών (β' μέρος),γαλήνη,calm
Δέντρο των Ψυχών (β' μέρος),η οδύνη,pain
Δέντρο των Ψυχών (β' μέρος),η αγανάκτηση,frustration/exasperation/resentment
Δέντρο των Ψυχών (β' μέρος),αφόρητος,unbearable
Τέμπη και ρήγμα (ά μέρος),το ρήγμα,the rift
Τέμπη και ρήγμα (ά μέρος),η αποτυχία,failure
Τέμπη και ρήγμα (ά μέρος),αποδίδω ευθύνες,to assign responsibility
Τέμπη και ρήγμα (ά μέρος),η δυσαρέσκεια,discontent
Τέμπη και ρήγμα (ά μέρος),η σχέση,relationship
Τέμπη και ρήγμα (ά μέρος),η πλειοψηφία,majority
Τέμπη και ρήγμα (ά μέρος),η επιμονή,persistence
Τέμπη και ρήγμα (ά μέρος),αντιμετωπίζω,to confront/to face
Τέμπη και ρήγμα (ά μέρος),η παντοδυναμία,omnipotence
Τέμπη και ρήγμα (ά μέρος),η εμπιστοσύνη,to trust
Τέμπη και ρήγμα (ά μέρος),ορίζω,to define
Τέμπη και ρήγμα (ά μέρος),η προώθηση,promotion
Δέντρο των Ψυχών (α' μέρος),αποκαλύπτω,to reveal
Δέντρο των Ψυχών (α' μέρος),το μνημείο,monument
Δέντρο των Ψυχών (α' μέρος),ο γλύπτης/η γλύπτρια,sculptor
Δέντρο των Ψυχών (α' μέρος),αφιερώνω,to dedicate
Δέντρο των Ψυχών (α' μέρος),η εκδήλωση,event
Δέντρο των Ψυχών (α' μέρος),λαμβάνει χώρα,it takes place
Δέντρο των Ψυχών (α' μέρος),υλοποιώ,to realize/to implement
Τέμπη και ρήγμα (β' μέρος),ο θεσμός,institution
Τέμπη και ρήγμα (β' μέρος),αποτυπώνω,imprint
Τέμπη και ρήγμα (β' μέρος),η αντιμετώπιση,confrontation
Τέμπη και ρήγμα (β' μέρος),αναδεικνύω,to highlight/to emerge
Τέμπη και ρήγμα (β' μέρος),πειστικός,convincing
Τέμπη και ρήγμα (β' μέρος),αντιπολίτευση,opposition
Τέμπη και ρήγμα (β' μέρος),το αίτημα,request/demand
Τέμπη και ρήγμα (β' μέρος),η νομιμοποίηση,legitimacy
Τέμπη και ρήγμα (β' μέρος),ο κυρίαρχος,dominant
Μαχαλάδες Ηράκλειας (γ' μέρος),κωλώνω,chicken out
Μαχαλάδες Ηράκλειας (γ' μέρος),διευκρινίζω,to clarify
Μαχαλάδες Ηράκλειας (γ' μέρος),μετρημένος,measured
Μαχαλάδες Ηράκλειας (γ' μέρος),υπερασπιστής,defender
Μαχαλάδες Ηράκλειας (γ' μέρος),ο χλοοτάπητας,lawn/turf
Μαχαλάδες Ηράκλειας (γ' μέρος),ξεδιπλώνω,to unfold
Μαχαλάδες Ηράκλειας (γ' μέρος),η παράσταση,show/performance
Μαχαλάδες Ηράκλειας (γ' μέρος),εμφανίζω,to appear
Μαχαλάδες Ηράκλειας (γ' μέρος),ο χαλκός,copper/bronze
Μαχαλάδες Ηράκλειας (γ' μέρος),αποκαλύπτω,to reveal
Μαχαλάδες Ηράκλειας (γ' μέρος),το τιμόνι,steering wheel
Μαχαλάδες Ηράκλειας (α' μέρος),κυριαρχώ,to dominate
Μαχαλάδες Ηράκλειας (α' μέρος),διαπεραστικός,penetrating
Μαχαλάδες Ηράκλειας (α' μέρος),επιβλητικός,majestic
Μαχαλάδες Ηράκλειας (α' μέρος),λακκούβα,pothole
Μαχαλάδες Ηράκλειας (α' μέρος),η καμινάδα,chimney
Μαχαλάδες Ηράκλειας (α' μέρος),συνοδεύω,to accompany
Μαχαλάδες Ηράκλειας (α' μέρος),τα κρουστά,percussion
Μαχαλάδες Ηράκλειας (α' μέρος),οργανοπαίχτης,instrument player
Μαχαλάδες Ηράκλειας (α' μέρος),το συγκρότημα,music band
Μαχαλάδες Ηράκλειας (α' μέρος),άσε που,let alone that
Μαχαλάδες Ηράκλειας (α' μέρος),άλλωστε/εξάλλου,besides/after all
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),αποδεικνύω,to prove
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),φρικτός,horrible/appalling
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),αντίδραση,reaction
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),εκφασισμός,fascistization
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),βαναυσότητα,brutality
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),κρατάω την ανάσα μου,holding my breath
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),στέκομαι στο ύψος των περιστάσεων,I rise to the occasion
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),εν ψυχρώ,in cold blood
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),η δικαιοσύνη,justice
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),υπαγορεύω,to dictate
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),παριστάνω,to pretend
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),ο βουλευτής,minister
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),αλλάζω ρότα,I change course
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),η προσαγωγή,arrest
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),ο εγκληματίας,criminal
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),ο φόνος,murder
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),η δίκη,trial
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),η συμμορία,gang
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),στυγερό έγκλημα,horrific crime
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),σηματοδοτώ,signal/indicate
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),αφυπνίζω,awaken
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),αγέρωχος,proud
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),πρωτοστατώ,to lead the way
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),αντιστέκομαι,to resist
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),το αποτύπωμα,imprint
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),διχασμένος,divided
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),ξυλοκοπώ,to beat
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),εισβάλλω,to invade
Αλέξανδρος/Παύλος/Ζακ (α' μέρος),ο συσχετισμός,correlation
Ελληνικά Γ (σελ. 206-207),ο υποστηρικτής,supporter
Ελληνικά Γ (σελ. 206-207),η υπερβολή,exaggeration
Ελληνικά Γ (σελ. 206-207),έρχομαι σε επαφή με,to get in touch with
Ελληνικά Γ (σελ. 206-207),γοητευτικός,charming
Ελληνικά Γ (σελ. 206-207),το κοινό,audience
Ελληνικά Γ (σελ. 206-207),η ζήτηση,demand
Ελληνικά Γ (σελ. 206-207),ο σκιτσογράφος,cartoonist
Ελληνικά Γ (σελ. 206-207),ικανοποιώ,to satisfy
Ελληνικά Γ (σελ. 206-207),η τεχνοτροπία,style
Ελληνικά Γ (σελ. 206-207),αποτελώ,to constitute
Ελληνικά Γ (σελ. 206-207),ο συνδυασμός,combination
Ελληνικά Γ (σελ. 206-207),επιπλέω,to float
Ελληνικά Γ (σελ. 206-207),ιδιαιτερότητα,particularity
Ελληνικά Γ (σελ. 206-207),ο επιχειρηματίας,businessman/entrepreneur
Ελληνικά Γ (σελ. 206-207),καλύπτω,to cover
Ελληνικά Γ (σελ. 206-207),το γούστο,taste/sense of style
Ελληνικά Γ (σελ. 206-207),η πολεμική τέχνη,martial art
Ελληνικά Γ (σελ. 206-207),ανήκω,to belong
Ελληνικά Γ (σελ. 206-207),ο δημοφιλής,popular
Ελληνικά Γ (σελ. 206-207),η λογοτεχνία,literature
Ελληνικά Γ (σελ. 206-207),και τελειωμό δεν έχει,there is no ending site
Ελληνικά Γ (σελ. 206-207),εκδίδω,to publish
Ελληνικά Γ (σελ. 206-207),άβολος,awkward/uncomfortable/inconvenient
Ελληνικά Γ (σελ. 206-207),πάει πακέτο με,it goes in conjunction with
Ελληνικά Γ (σελ. 206-207),η οθόνη,screen
Ελληνικά Γ (σελ. 206-207),ο όρος,term
Ελληνικά Γ (σελ. 206-207),έστω και λίγο,even a little bit
Ελληνικά Γ (σελ. 206-207),όσον αφορά,concerning/regarding
Ελληνικά Γ (σελ. 206-207),η έκδοση,edition/version
Ελληνικά Γ (σελ. 206-207),βολεύομαι,I get comfortable
Ελληνικά Γ (σελ. 206-207),η εμφάνιση,appearance
Ελληνικά Γ (σελ. 206-207),εμπνέομαι,to be inspired
Ελληνικά Γ τετράδιο (σελ. 53),παρατηρώ,to observe
Ελληνικά Γ τετράδιο (σελ. 53),παρατηρητικός,observant
Ελληνικά Γ τετράδιο (σελ. 53),πιθανόν,possibly/probably
Ελληνικά Γ τετράδιο (σελ. 53),απαρατήρητος,unnoticed
Ελληνικά Γ τετράδιο (σελ. 53),προσθέτω,to add
Ελληνικά Γ τετράδιο (σελ. 53),αφαιρώ,to remove
Ελληνικά Γ τετράδιο (σελ. 53),αποδεικνύω,to prove
Ελληνικά Γ τετράδιο (σελ. 53),το κατόρθωμα,achievement
Ελληνικά Γ τετράδιο (σελ. 53),το ψευδώνυμο,nickname
Ελληνικά Γ τετράδιο (σελ. 53),τοποθετώ,I place
Ελληνικά Γ τετράδιο (σελ. 53),απεικονίζω,to depict/represent
Ελληνικά Γ τετράδιο (σελ. 53),το καρότσι,shopping cart/trolley/stroller
Ελληνικά Γ τετράδιο (σελ. 53),η αίθουσα,classroom
Ελληνικά Γ τετράδιο (σελ. 53),ο δράστης,perpetrator
Ελληνικά Γ τετράδιο (σελ. 53),ενημερώνω,to inform/update
Ελληνικά Γ τετράδιο (σελ. 53),πρόκειται για,it's about
Ελληνικά Γ τετράδιο (σελ. 53),το έκθεμα,exhibit
Ελληνικά Γ τετράδιο (σελ. 53),ο εκπρόσωπος,representative
Ελληνικά Γ τετράδιο (σελ. 53),επιχειρώ,attempt/try
Michael Zafiropoulos 6,η συμβουλή,advice
Michael Zafiropoulos 6,η εμπειρία,experience
Michael Zafiropoulos 6,μου ραγίζει την καρδιά,it breaks my heart
Michael Zafiropoulos 6,το γιογιό,potty
Michael Zafiropoulos 6,εκπαίδευση τουαλέτας,potty training
Michael Zafiropoulos 6,ο αυτοέλεγχος,self-control
Michael Zafiropoulos 6,η αυτονομία,autonomy
Michael Zafiropoulos 6,απογοητεύομαι,I am disappointed
Michael Zafiropoulos 6,συμπεριφέρομαι,I behave
Michael Zafiropoulos 6,η συμπεριφορά,behaviour
Michael Zafiropoulos 6,επιβιώνω,to survive
Michael Zafiropoulos 6,η διαδήλωση,demonstration/protest
Ελληνικά Γ τετράδιο (σελ. 51),ολόφρεσκος,very fresh
Ελληνικά Γ τετράδιο (σελ. 51),πεντακάθαρος,very clean
Ελληνικά Γ τετράδιο (σελ. 51),ολοκαίνουριος,brand new
Ελληνικά Γ τετράδιο (σελ. 51),κατάξανθος,blonde
Ελληνικά Γ τετράδιο (σελ. 51),ολομόναχος,all alone
Ελληνικά Γ τετράδιο (σελ. 51),κατάχλωμος,very pale
Ελληνικά Γ τετράδιο (σελ. 51),ολόψυχα,wholeheartedly
Ελληνικά Γ τετράδιο (σελ. 51),θεότρελος,very crazy
Ελληνικά Γ τετράδιο (σελ. 51),πανάκριβος,very expensive
Ελληνικά Γ τετράδιο (σελ. 51),πάμπλουτος,extremely wealthy
Ελληνικά Γ τετράδιο (σελ. 51),πεντανόστιμος,delicious
Ελληνικά Γ τετράδιο (σελ. 51),ολοστρόγγυλος,round
Ελληνικά Γ τετράδιο (σελ. 51),καταδικό μου,very personal
Ελληνικά Γ τετράδιο (σελ. 46),εντοπίζω,to locate/detect
Ελληνικά Γ τετράδιο (σελ. 46),διευκολύνω,to facilitate
Ελληνικά Γ τετράδιο (σελ. 46),προμηθεύω,to supply
Ελληνικά Γ τετράδιο (σελ. 46),ο καταναλωτής,consumer
Ελληνικά Γ τετράδιο (σελ. 46),παρόλα αυτά,nevertheless
Ελληνικά Γ τετράδιο (σελ. 46),εξακολουθώ,to continue
Ελληνικά Γ τετράδιο (σελ. 46),αναρωτιέμαι,to wonder
Ελληνικά Γ τετράδιο (σελ. 46),εξίσου,equally/just as
Ελληνικά Γ τετράδιο (σελ. 46),πραγματοποιείται,takes place
Ελληνικά Γ τετράδιο (σελ. 46),παρουσιάζω,to present/show
Ελληνικά Γ τετράδιο (σελ. 46),ο κανόνας,rule
Ελληνικά Γ τετράδιο (σελ. 46),η φήμη,reputation
Ελληνικά Γ τετράδιο (σελ. 46),σχετικά με,regarding/in relation to
Ελληνικά Γ τετράδιο (σελ. 46),ελέγχω,to check
Ελληνικά Γ τετράδιο (σελ. 46),οι συστάσεις,reviews/recommendations
Ελληνικά Γ τετράδιο (σελ. 46),ο ιστότοπος,website
Ελληνικά Γ τετράδιο (σελ. 46),τα προσωπικά στοιχεία,personal data/personal information
Ελληνικά Γ τετράδιο (σελ. 46),αποκαλύπτω,to reveal
Ελληνικά Γ τετράδιο (σελ. 46),συλλέγω,to collect
Ελληνικά Γ τετράδιο (σελ. 46),παρά μόνο,unless
Ελληνικά Γ τετράδιο (σελ. 46),ο σκοπός,purpose
Ελληνικά Γ τετράδιο (σελ. 46),η κοινοποίηση,sharing
Ελληνικά Γ τετράδιο (σελ. 46),αναμενόμενο,expected
Ελληνικά Γ τετράδιο (σελ. 46),η λεπτομέρεια,detail
Ελληνικά Γ τετράδιο (σελ. 46),η παραλαβή,pick up and delivery
Ελληνικά Γ τετράδιο (σελ. 46),η εγγύηση,guarantee/warranty
Ελληνικά Γ τετράδιο (σελ. 46),βεβαιώνομαι,to make sure/verify
Ελληνικά Γ τετράδιο (σελ. 46),απευθύνομαι,to be addressed
Ελληνικά Γ τετράδιο (σελ. 46),η διεύθυνση ηλεκτρονικού ταχυδρομείου,email
Ελληνικά Γ τετράδιο (σελ. 46),διατηρώ,to maintain/preserve
Ελληνικά Γ τετράδιο (σελ. 46),αντιλαμβάνομαι,to perceive/understand/realise
Ελληνικά Γ τετράδιο (σελ. 46),παραμένω,to remain
Ελληνικά Γ τετράδιο (σελ. 46),αποφεύγω,to avoid
Ελληνικά Γ τετράδιο (σελ. 46),εξουσιοδοτημένη συναλλαγή,authorised transaction
Ελληνικά Γ τετράδιο (σελ. 46),η πιστωτική κάρτα,credit card
Ελληνικά Γ τετράδιο (σελ. 46),ειδοποιώ,to notify
Ελληνικά Γ τετράδιο (σελ. 46),σε περίπτωση που,in case that
Ελληνικά Γ τετράδιο (σελ. 46),η απώλεια,loss
Ελληνικά Γ τετράδιο (σελ. 46),η κλοπή,theft/robbery
Michael Zafiropoulos 5,η εξέγερση,rebellion
Michael Zafiropoulos 5,οι αναταραχές,riots
Michael Zafiropoulos 5,τα επεισόδια,riots
Michael Zafiropoulos 5,ο ακροδεξιός,
Michael Zafiropoulos 5,ο εθνικιστής,nationalist
Michael Zafiropoulos 5,η μειονότητα,minority
Michael Zafiropoulos 5,ο σεξουαλικός προσανατολισμός,sexual orientation
Michael Zafiropoulos 5,η σεξουαλικότητα,sexuality
Michael Zafiropoulos 5,η κοινωνική αναταραχή,social unrest
Michael Zafiropoulos 5,οι συντηρητικοί,conservatives
Michael Zafiropoulos 4,το ισόγειο,ground floor
Michael Zafiropoulos 4,ο υποψήφιος/η υποψήφια,candidate
Michael Zafiropoulos 4,το πολιτικό κόμμα,political party
Michael Zafiropoulos 4,έχω σκοπό να,to intend to
Michael Zafiropoulos 4,η δημοσκόπηση,poll
Michael Zafiropoulos 4,το κοινοβούλιο,Parliament
Michael Zafiropoulos 4,φροντίζω,to take care of
Michael Zafiropoulos 4,η μετανάστευση,immigration
Michael Zafiropoulos 4,προοδευτικός,Progressive/radical
Michael Zafiropoulos 4,η ψήφος,vote
Michael Zafiropoulos 4,η απεργία,strike
Ελληνικά Γ (σελ. 161),η έρευνα,research/survey
Ελληνικά Γ (σελ. 161),το ζήτημα,issue/matter
Ελληνικά Γ (σελ. 161),η δημοσκόπηση,opinion poll
Ελληνικά Γ (σελ. 161),η άποψη,opinion
Ελληνικά Γ (σελ. 161),σχετικά με,regarding
Ελληνικά Γ (σελ. 161),σύμφωνα με,according to
Ελληνικά Γ (σελ. 161),το κράτος,state
Ελληνικά Γ (σελ. 161),αποτελώ,to make up/to form/to constitute
Ελληνικά Γ (σελ. 161),ο πολίτης,citizen
Ελληνικά Γ (σελ. 161),το ποσοστό,percentage
Ελληνικά Γ (σελ. 161),παρά,besides
Ελληνικά Γ (σελ. 161),σε σχέση με,in relation to
Ελληνικά Γ (σελ. 161),η βελτίωση,improvement
Ελληνικά Γ (σελ. 161),η αισιοδοξία,optimism
Ελληνικά Γ (σελ. 161),το εισόδημα,income
Ελληνικά Γ (σελ. 161),ενώ,while/meanwhile
Ελληνικά Γ (σελ. 161),ενισχύω,to strengthen/to reinforce
Ελληνικά Γ (σελ. 150),η προκαταβολή,deposit
Ελληνικά Γ (σελ. 150),καθυστερώ,to delay
Ελληνικά Γ (σελ. 150),παραδίδω,to deliver
Ελληνικά Γ (σελ. 150),η απάτη,fraud
Ελληνικά Γ (σελ. 150),οφείλω,to owe
Ελληνικά Γ (σελ. 150),η ακύρωση,cancellation
Ελληνικά Γ (σελ. 150),ενημερώνω,to inform
Ελληνικά Γ (σελ. 150),ακυρώνω,to cancel
Ελληνικά Γ (σελ. 150),εισπράττω,to collect money
Ελληνικά Γ (σελ. 150),διαθέσιμος,available
Ελληνικά Γ (σελ. 150),εξαντλημένος,exhausted
Ελληνικά Γ (σελ. 150),εξαντλημένο προϊόν,out of stock
Ελληνικά Γ (σελ. 150),η επιχείρηση,business
Ελληνικά Γ (σελ. 150),άθικτος,intact
Ελληνικά Γ (σελ. 150),η εγγύηση,warranty
Ελληνικά Γ (σελ. 150),καλύπτω,to cover
Ελληνικά Γ (σελ. 150),απόσταση,distance
Ελληνικά Γ (σελ. 150),παραλαμβάνω,to receive
Ελληνικά Γ (σελ. 150),η επιβάρυνση,charge
Ελληνικά Γ (σελ. 150),παράνομος,illegal
Ελληνικά Γ (σελ. 150),τα έξοδα αποστολής,shipping costs
Ελληνικά Γ (σελ. 150),τα έξοδα επιστροφής,costs of return
Ελληνικά Γ (σελ. 150),ο καταναλωτής,consumer
Ελληνικά Γ (σελ. 150),συμμορφώνομαι,to comply
Ελληνικά Γ (σελ. 150),επικοινωνώ,to communicate
Ελληνικά Γ (σελ. 150),η καταγγελία,complaint
Ελληνικά Γ (σελ. 150),αρμόδιος,responsible/person in charge
Ελληνικά Γ (σελ. 150),το έγγραφο,document
Ελληνικά Γ (σελ. 150),ορίζω,to define
Ελληνικά Γ (σελ. 150),το διαδίκτυο,internet
Ελληνικά Γ (σελ. 150),παραπλανώ,to scam/to mislead
Ελληνικά Γ (σελ. 150),έγκαιρα,on time
Ελληνικά Γ (σελ. 150),αρνούμαι,to refuse
Ελληνικά Γ (σελ. 150),η παραπλάνηση,fraud
Ελληνικά Γ (σελ. 150),κάνω καταγγελία,I file a complaint
Ελληνικά Γ (σελ. 150),ενδεχομένως,possibly
